student_id,full_name,birth_date,gender,enrollment_date,class_level,section,status,average_grade,absences_count,teacher_id
STU0001,Reda Mansouri,12/04/2000,M,28/10/2022,6ème,B,Actif,7.46,34,TCH003
STU0002,Hamza Rahali,17/04/2006,M,13/10/2019,Terminale,B,Diplômé,14.87,28,TCH019
STU0003,Sanaa Chraibi,25/10/2003,F,23/03/2020,2nde,Sciences,Actif,18.84,5,TCH013
STU0004,Rim Akram,05/01/2006,F,14/05/2019,5ème,A,Actif,9.87,40,TCH020
STU0005,Mehdi Tazi,01/09/2008,M,15/04/2020,5ème,Sciences,Actif,17.26,24,TCH009
STU0006,Ilyas Fassi,08/07/2007,M,29/02/2020,3ème,Littérature,Actif,14.59,40,TCH006
STU0007,Bilal Bouzidi,05/09/2007,M,26/06/2020,2nde,Sciences,Actif,16.03,2,TCH011
STU0008,Meryem Bouzidi,08/06/2004,F,17/08/2023,3ème,Économie,Redoublant,11.11,15,TCH018
STU0009,Asmaa Moussaoui,17/06/2002,F,11/06/2019,3ème,Économie,Actif,5.41,7,TCH005
STU0010,Asmaa Filali,12/04/2004,F,03/01/2022,4ème,Sciences,Actif,12.2,0,TCH004
STU0011,Soukaina Moussaoui,15/11/2004,F,21/07/2019,6ème,Sciences,Diplômé,18.78,16,TCH017
STU0012,Reda Chraibi,18/09/2001,M,05/10/2020,6ème,Sciences,Actif,12.36,33,TCH001
STU0013,Zakaria Oulad,25/08/2000,M,07/01/2020,5ème,Littérature,Transféré,18.68,31,TCH003
STU0014,Saad Bouzidi,21/12/2002,M,16/08/2021,1ère,Sciences,Redoublant,10.56,34,TCH007
STU0015,Imane Benali,10/05/2001,F,21/01/2020,1ère,A,Actif,9.24,14,TCH019
STU0016,Ilyas Moussaoui,25/02/2010,M,04/11/2018,2nde,Économie,Redoublant,5.1,31,TCH007
STU0017,Bilal Mansouri,18/10/2008,M,26/04/2021,1ère,A,Diplômé,6.95,27,TCH012
STU0018,Ilyas Bennani,05/09/2000,M,03/12/2020,5ème,Sciences,Redoublant,16.41,12,TCH007
STU0019,Khalil Benali,21/10/2009,M,02/02/2019,Terminale,B,Actif,17.35,3,TCH018
STU0020,Laila Bouzidi,12/06/2005,F,13/05/2021,Terminale,Littérature,Actif,10.22,24,TCH001
STU0021,Hajar Tahiri,24/10/2007,F,06/10/2022,2nde,Économie,Actif,12.61,9,TCH007
STU0022,Meryem El Idrissi,22/08/2000,F,12/12/2018,6ème,Économie,Actif,11.79,10,TCH002
STU0023,Youssef Mansouri,11/07/2004,M,04/05/2019,2nde,Économie,Actif,12.83,2,TCH020
STU0024,Sara Filali,16/04/2002,F,03/06/2022,6ème,A,Redoublant,7.7,19,TCH015
STU0025,Amine Bouzidi,27/10/2000,M,06/09/2021,Terminale,Économie,Diplômé,8.11,4,TCH008
STU0026,Rim Moussaoui,10/11/2006,F,11/03/2023,6ème,Économie,Actif,4.12,19,TCH004
STU0027,Zineb Bouzidi,28/02/2003,F,21/01/2022,Terminale,A,Actif,9.31,16,TCH017
STU0028,Nour Fassi,20/04/2009,F,20/03/2020,1ère,Littérature,Transféré,,8,TCH009
STU0029,Reda Oulad,03/04/2001,M,02/02/2019,5ème,A,Actif,14.71,2,TCH012
STU0030,Sara Rahali,30/01/2010,F,17/02/2023,Terminale,Littérature,Transféré,4.62,15,TCH004
STU0031,Karim Fassi,19/05/2010,M,29/12/2019,Terminale,Littérature,Diplômé,19.13,26,TCH001
STU0032,Omar Akram,28/12/2002,M,24/07/2019,4ème,Sciences,Actif,5.68,30,TCH008
STU0033,Nabil Oulad,06/04/2000,M,14/05/2022,Terminale,Économie,Actif,9.09,17,TCH012
STU0034,Youssef Zerhouni,17/04/2001,M,02/08/2023,1ère,Sciences,Redoublant,6.77,16,TCH002
STU0035,Nabil Fassi,26/04/2004,M,24/11/2021,1ère,B,Actif,4.69,33,TCH018
STU0036,Meryem Bouzidi,13/10/2000,F,23/05/2022,4ème,Littérature,Diplômé,13.66,7,TCH010
STU0037,Hind Bouzidi,20/03/2006,F,19/05/2019,Terminale,A,Actif,14.31,11,TCH020
STU0038,Asmaa Tahiri,10/05/2002,F,28/01/2021,Terminale,B,Diplômé,13.4,28,TCH015
STU0039,Omar Rahali,08/03/2003,M,22/07/2021,6ème,A,Actif,13.6,15,TCH010
STU0040,Khadija Fassi,08/11/2006,F,07/06/2023,3ème,B,Actif,11.06,36,TCH007
STU0041,Zakaria Fassi,04/01/2010,M,16/11/2022,6ème,Économie,Actif,17.72,14,TCH006
STU0042,Zakaria Filali,12/02/2005,M,01/06/2019,Terminale,Économie,Redoublant,14.35,38,TCH011
STU0043,Soukaina Rahali,22/01/2010,F,23/07/2019,1ère,B,Actif,11.36,15,TCH009
STU0044,Nour Moussaoui,13/11/2000,F,01/09/2022,1ère,B,Diplômé,8.21,34,TCH003
STU0045,Bilal Filali,20/09/2000,M,28/12/2020,1ère,A,Transféré,12.41,13,TCH014
STU0046,Khadija Fassi,07/05/2005,F,13/09/2018,2nde,B,Redoublant,8.63,26,TCH018
STU0047,Khalil Bennani,22/01/2003,M,09/02/2021,2nde,Économie,Actif,10.03,25,TCH006
STU0048,Fatima Bouzidi,21/08/2006,F,30/10/2021,5ème,Littérature,Actif,5.3,29,TCH006
STU0049,Zineb Benali,14/07/2008,F,07/08/2023,6ème,Sciences,Actif,15.66,16,TCH003
STU0050,Omar Akram,04/10/2008,f,27/04/2022,5ème,B,Redoublant,,,TCH008
STU0051,Saad Fassi,29/04/2006,M,21/11/2019,Terminale,B,Actif,7.97,38,TCH020
